particle_id,longitude,latitude,mass,water_fraction,age_hours
0,70.75024504882302,20.86169415056889,1.0,0.0,36.0
1,70.74083623249581,20.89100193546482,1.0,0.0,36.0
2,70.75029190182111,20.852902765171695,1.0,0.0,36.0
3,70.77232417945153,20.858088295481114,1.0,0.0,36.0
4,70.72917381498709,20.8435074720455,1.0,0.0,36.0
5,70.72997126054541,20.82654058105858,1.0,0.0,36.0
6,70.71271500440598,20.86964186634249,1.0,0.0,36.0
7,70.74179033937862,20.865427821536304,1.0,0.0,36.0
8,70.7545175095141,20.82118930414294,1.0,0.0,36.0
9,70.73778158912847,20.85362092688508,1.0,0.0,36.0
10,70.73096821483253,20.834530306584888,1.0,0.0,36.0
11,70.73825685096925,20.852145823990227,1.0,0.0,36.0
12,70.73538238631582,20.88182682312544,1.0,0.0,36.0
13,70.72957515545511,20.859835934195413,1.0,0.0,36.0
14,70.75360382287234,20.841402349674837,1.0,0.0,36.0
15,70.72971584851237,20.847760466950685,1.0,0.0,36.0
16,70.74685585192863,20.836281915065285,1.0,0.0,36.0
17,70.7045409966364,20.87704235800906,1.0,0.0,36.0
18,70.76281895815123,20.848551872788896,1.0,0.0,36.0
19,70.72068740396963,20.828508258509455,1.0,0.0,36.0
20,70.73536161837289,20.8405403890904,1.0,0.0,36.0
21,70.7372680872308,20.832371914834823,1.0,0.0,36.0
22,70.74461957876109,20.820623600153585,1.0,0.0,36.0
23,70.70519064084944,20.850524061579126,1.0,0.0,36.0
24,70.74207657540279,20.85538189778878,1.0,0.0,36.0
25,70.73624329467528,20.874801221052536,1.0,0.0,36.0
26,70.75912362404665,20.869536953910238,1.0,0.0,36.0
27,70.73505389240223,20.843842233297508,1.0,0.0,36.0
28,70.75185690811092,20.852818214510897,1.0,0.0,36.0
29,70.76031553042897,20.849395760845685,1.0,0.0,36.0
30,70.73955374902815,20.836359137625134,1.0,0.0,36.0
31,70.7579138640443,20.833613868497654,1.0,0.0,36.0
32,70.74075090513695,20.83442854919078,1.0,0.0,36.0
33,70.74303173486753,20.81448508912293,1.0,0.0,36.0
34,70.74810325543574,20.837953366444953,1.0,0.0,36.0
35,70.72362480116676,20.838035074672053,1.0,0.0,36.0
36,70.74424878956694,20.846931402386414,1.0,0.0,36.0
37,70.75913307017026,20.83752490246351,1.0,0.0,36.0
38,70.74822409072414,20.839732393870282,1.0,0.0,36.0
39,70.72102851999867,20.82446504958306,1.0,0.0,36.0
40,70.73809399568661,20.842094082071185,1.0,0.0,36.0
41,70.71940333424918,20.80911914717659,1.0,0.0,36.0
42,70.743453737479,20.848204936237053,1.0,0.0,36.0
43,70.73895769304937,20.87215971324016,1.0,0.0,36.0
44,70.72081464226805,20.841455423001037,1.0,0.0,36.0
45,70.72965544963117,20.870286393946774,1.0,0.0,36.0
46,70.73732328930082,20.840649432857386,1.0,0.0,36.0
47,70.74511191430118,20.8151574831688,1.0,0.0,36.0
48,70.73342698610149,20.82203881689622,1.0,0.0,36.0
49,70.71528051252936,20.811825583314643,1.0,0.0,36.0
50,70.7513011238148,20.847311061732846,1.0,0.0,36.0
51,70.73977926205977,20.838645703832242,1.0,0.0,36.0
52,70.75068181528171,20.832622318237902,1.0,0.0,36.0
53,70.74830263076173,20.867818263802757,1.0,0.0,36.0
54,70.7346046179374,20.839213579163758,1.0,0.0,36.0
55,70.72835636192937,20.8639160484604,1.0,0.0,36.0
56,70.73738300864012,20.832220584991266,1.0,0.0,36.0
57,70.71824454613993,20.864469439816936,1.0,0.0,36.0
58,70.7373027518554,20.869682390817804,1.0,0.0,36.0
59,70.70789748489999,20.847395385606955,1.0,0.0,36.0
60,70.7171944931812,20.865310347820323,1.0,0.0,36.0
61,70.74686016395201,20.846603377436075,1.0,0.0,36.0
62,70.73922108968307,20.85194395371871,1.0,0.0,36.0
63,70.73250906984025,20.84082029412899,1.0,0.0,36.0
64,70.71837544138246,20.813183677236104,1.0,0.0,36.0
65,70.74815687051027,20.828364496584772,1.0,0.0,36.0
66,70.73030159692962,20.82846929185525,1.0,0.0,36.0
67,70.7419053474831,20.828145701409635,1.0,0.0,36.0
68,70.72615455417025,20.831504163962045,1.0,0.0,36.0
69,70.7357743436477,20.85136376086378,1.0,0.0,36.0
70,70.75201032625306,20.843137221790208,1.0,0.0,36.0
71,70.7509681314138,20.866370657918353,1.0,0.0,36.0
72,70.74914001660613,20.859377343795252,1.0,0.0,36.0
73,70.72886563839388,20.826010105875138,1.0,0.0,36.0
74,70.72537618729515,20.82641237542243,1.0,0.0,36.0
75,70.73832841813463,20.842547458984754,1.0,0.0,36.0
76,70.74170520497766,20.83284036728033,1.0,0.0,36.0
77,70.75716784302685,20.846987998262843,1.0,0.0,36.0
78,70.74797722272602,20.831354907310544,1.0,0.0,36.0
79,70.7271049338249,20.840914255792203,1.0,0.0,36.0
80,70.72107448316483,20.814601997023875,1.0,0.0,36.0
81,70.76029957095051,20.839219966774532,1.0,0.0,36.0
82,70.73279823430902,20.846367668799168,1.0,0.0,36.0
83,70.71443750177428,20.85447697433887,1.0,0.0,36.0
84,70.74283601535636,20.841949294415173,1.0,0.0,36.0
85,70.73508570057238,20.864690401087262,1.0,0.0,36.0
86,70.72097538481216,20.84055515716862,1.0,0.0,36.0
87,70.74384228069465,20.86964583619263,1.0,0.0,36.0
88,70.75052231022208,20.815668158086368,1.0,0.0,36.0
89,70.73912328868988,20.845457720719583,1.0,0.0,36.0
90,70.72628347194036,20.869120397420403,1.0,0.0,36.0
91,70.7608546068408,20.839290120922243,1.0,0.0,36.0
92,70.7451055886444,20.83982450932199,1.0,0.0,36.0
93,70.72675001505226,20.85009017617822,1.0,0.0,36.0
94,70.75500003290655,20.886124153160136,1.0,0.0,36.0
95,70.73025676617105,20.852677988774442,1.0,0.0,36.0
96,70.71183465775441,20.843074019122206,1.0,0.0,36.0
97,70.73535128295906,20.845863325174705,1.0,0.0,36.0
98,70.74773665852301,20.88815815377447,1.0,0.0,36.0
99,70.73531576743783,20.86177858061149,1.0,0.0,36.0
100,70.7416208792983,20.8562510054122,1.0,0.0,36.0
101,70.7200256391282,20.865969403690432,1.0,0.0,36.0
102,70.74479202238565,20.845454601617956,1.0,0.0,36.0
103,70.76430906363053,20.817828049481495,1.0,0.0,36.0
104,70.73264223633437,20.81551515145752,1.0,0.0,36.0
105,70.73534421707726,20.878240917864034,1.0,0.0,36.0
106,70.71776022661129,20.848988133137656,1.0,0.0,36.0
107,70.73998411410966,20.84176857223662,1.0,0.0,36.0
108,70.71546527896578,20.838643320008625,1.0,0.0,36.0
109,70.73022750444814,20.865637890218867,1.0,0.0,36.0
110,70.74436903315781,20.871642908324645,1.0,0.0,36.0
